interval 	time	 f1_20 	 f2_20 
bad 	20	 518.4042369237802 	 1472.696110704335 
bayed 	20	 612.1405063666078 	 2562.495853509858 
bed 	20	 875.1400775778325 	 2040.6271095341776 
bid 	20	 567.8478861571188 	 2301.5838834128926 
bide 	20	 914.824504801731 	 1669.8001074626984 
bird 	20	 564.6585498578722 	 1542.0037157797403 
bode 	20	 650.6927550027929 	 1281.8783504914556 
booed 	20	 426.48517825324035 	 1084.8046693132928 
bough 	20	 999.8292756701096 	 1674.7870370235444 
bought 	20	 760.5838819481976 	 1283.3686389843133 
boy 	20	 520.9617337370744 	 883.7199663434761 
bud 	20	 849.0274523768591 	 1536.3594619091134 
bad 	50	 903.3483900615562 	 2112.656035981301 
bayed 	50	 552.0732921542856 	 2672.057225891507 
bed 	50	 884.6828230359843 	 2081.548196323231 
bid 	50	 555.011955556242 	 2388.279161430093 
bide 	50	 910.8978908676323 	 1774.0360738849074 
bird 	50	 531.0052907868243 	 1647.104903822353 
bode 	50	 532.8223903333849 	 1103.6660940418087 
booed 	50	 394.350402363707 	 1034.532504511005 
bough 	50	 862.8600535145391 	 1389.3030368057316 
bought 	50	 876.162272209727 	 1358.5330167486889 
boy 	50	 655.7254236309116 	 1375.3014275666824 
bud 	50	 821.5707947106966 	 1486.6200452291032 
bad 	80	 999.0647580034781 	 1861.6855865181883 
bayed 	80	 469.60643916828997 	 2789.598242207628 
bed 	80	 784.1010654826815 	 2225.140271804096 
bid 	80	 520.940980523547 	 2373.4551294507514 
bide 	80	 620.0689960653019 	 2441.180430296219 
bird 	80	 486.6658333490256 	 1673.5863629054656 
bode 	80	 446.3573833985007 	 917.9295940641839 
booed 	80	 374.7433446468717 	 1025.313986719552 
bough 	80	 360.1029021629687 	 851.869612622562 
bought 	80	 943.4445543160346 	 1642.5398822538834 
boy 	80	 483.35003492756067 	 2489.782184798474 
bud 	80	 791.492756201559 	 1779.930693261651 
