"interval"	f1	f2	time
"bad"	"518.4042369237802"	"1472.696110704335"	20
"bayed"	"612.1405063666078"	"2562.495853509858"	20
"bed"	"875.1400775778325"	"2040.6271095341776"	20
"bid"	"567.8478861571188"	"2301.5838834128926"	20
"bide"	"914.824504801731"	"1669.8001074626984"	20
"bird"	"564.6585498578722"	"1542.0037157797403"	20
"bode"	"650.6927550027929"	"1281.8783504914556"	20
"booed"	"426.48517825324035"	"1084.8046693132928"	20
"bough"	"999.8292756701096"	"1674.7870370235444"	20
"bought"	"760.5838819481976"	"1283.3686389843133"	20
"boy"	"520.9617337370744"	"883.7199663434761"	20
"bud"	"849.0274523768591"	"1536.3594619091134"	20
"bad"	903.3483900615562	2112.656035981301	50
"bayed"	552.0732921542856	2672.057225891507	50
"bed"	884.6828230359843	2081.548196323231	50
"bid"	555.011955556242	2388.279161430093	50
"bide"	910.8978908676323	1774.0360738849074	50
"bird"	531.0052907868243	1647.104903822353	50
"bode"	532.8223903333849	1103.6660940418087	50
"booed"	394.350402363707	1034.532504511005	50
"bough"	862.8600535145391	1389.3030368057316	50
"bought"	876.162272209727	1358.5330167486889	50
"boy"	655.7254236309116	1375.3014275666824	50
"bud"	821.5707947106966	1486.6200452291032	50
"bad"	999.0647580034781	1861.6855865181883	80
"bayed"	469.60643916828997	2789.598242207628	80
"bed"	784.1010654826815	2225.140271804096	80
"bid"	520.940980523547	2373.4551294507514	80
"bide"	620.0689960653019	2441.180430296219	80
"bird"	486.6658333490256	1673.5863629054656	80
"bode"	446.3573833985007	917.9295940641839	80
"booed"	374.7433446468717	1025.313986719552	80
"bough"	360.1029021629687	851.869612622562	80
"bought"	943.4445543160346	1642.5398822538834	80
"boy"	483.35003492756067	2489.782184798474	80
"bud"	791.492756201559	1779.930693261651	80
