vowel	f1	f2
a	775.2	1704.8
a	756.4	1638.3
a	668.9	1724.4
a	599.8	2079.3
a	671.6	1595.2
a	721.3	1918.9
a	679.9	1775.7
a	714.4	1656.4
a	752.8	1462.8
a	637.8	1914.6
a	708.2	1694.7
a	730.1	1698.9
a	646.7	1850.4
a	793.7	1662.7
a	790.5	1695.5
a	660.7	1863.2
a	571.9	1874
a	615.9	1731.9
a	696.3	1876
a	701.7	1906.6
a	795.4	1460
a	673.8	1698
a	773.7	1743.8
a	659.5	1693
a	675	1761.7
a	831.9	1498.5
a	616	1972.1
a	682.4	1743.3
a	753.7	1590.7
a	707.6	1823.8
a	729.5	1505.3
a	829.4	1442.8
a	646.8	1495.4
a	743.2	1738.3
a	497.2	2072
a	788.4	1526.6
a	735.5	1481.2
a	606	1571.7
a	466.8	1749.2
a	720.1	1697.2
a	701.3	1696.3
a	572	1558.3
a	599.1	2103.9
a	676.9	1568.8
a	550.2	1881.4
a	529.9	1477.5
a	684.7	1445.2
a	688.9	1556
a	718	1513.5
e	433.6	2221.8
e	489.2	1663.8
e	408.6	2388.5
e	446	2015.3
e	481.7	2040.1
e	467.4	2401.1
e	456.1	2401.4
e	416.6	2366.9
e	411.8	2619.3
e	459.8	2449.9
e	457.1	2223.7
e	465.4	2444.8
e	524.6	2571.4
e	498.7	2152.4
e	455.5	2491.6
e	463.1	2426.1
e	488.3	2187.1
e	405.1	2313.6
e	465.9	2449.9
e	533	2520
e	390.5	2697.5
e	410.5	2645.7
e	497.4	2025.5
e	482.7	2675.8
e	481.6	2613.9
e	454.1	2361.3
e	465.2	2090.9
e	533.3	1785.5
e	474.9	2232.6
e	446.9	2303.7
e	430.3	2187.7
e	430.3	2011.8
e	550.6	1527.6
e	427.1	2366.5
e	463.2	2421.5
e	473.6	2549.7
e	480.4	2243.7
e	499.9	2446.5
e	483.5	2308.9
e	478.9	2366
e	466.8	1868.7
e	485.7	2079.9
e	517.1	1881.6
e	474.1	2222
e	509	2370.7
e	460.4	2200.7
i	363.3	2446
i	368.5	2130.1
i	402.8	2456.3
i	361.9	2206.4
i	433.9	2720.7
i	401.7	2429.8
i	441	2337.4
i	439.1	2207.1
i	305.5	2337.7
i	363.4	2717.9
i	399.9	2480.3
i	403.7	2501
i	340.1	2371.2
i	370.7	2442
i	421.4	2229.7
i	413.5	2729.4
i	346.4	2220.5
i	396.4	2684.5
i	366.7	2649.4
i	420.3	2372.5
i	370.7	2505.9
i	399.1	2538.2
i	337.2	2659.7
i	413.1	2451.4
i	373.9	2498.8
i	373.1	2515.3
i	266.3	2313.5
i	377.9	2879.7
i	361.5	2395.7
i	400.7	2308.6
i	368.1	2748.2
i	363	2662.9
i	379.5	2521.1
i	437.4	2034.4
i	376.8	2339.9
i	406.1	2368.8
i	379.7	2760.6
i	395.9	2466
i	414.5	1797.7
i	325.4	2457.7
i	306.7	2400.8
i	390.6	2474.1
i	384.6	2337.1
i	356.6	2463
i	276.7	2322
i	373	2141.9
i	432	2125.3
i	387.9	2334.1
i	347.1	2113.2
o	447	1363.6
o	571.6	1407.6
o	447.1	1664.3
o	477.8	1393.6
o	551.4	1365.6
o	552.4	1193.7
o	524.1	1293.4
o	459.6	1564.2
o	592.7	1369.1
o	482.3	1314.9
o	590	1378.1
o	485.2	1291.3
o	540.5	1350.2
o	609	1495.2
o	513.4	1262.8
o	502.1	1745.7
o	511.6	1610.1
o	473	1264.1
o	491.1	1612.7
o	510.8	1301.2
o	413.8	1714.2
o	478.3	1562.2
o	426	1656.1
o	482.7	1359.6
o	577.7	1615.2
o	503.8	1543.5
o	475.5	1647.2
o	465.3	1466.9
o	521.7	1380.1
o	551.6	1173
o	574.4	1670
o	488.6	1741.7
o	519.8	1365.8
o	456.6	2026.7
o	505.1	1436
o	506.9	1309.5
o	532.4	1393.9
o	430.7	1205.2
o	471.7	1298.1
o	507.7	1205.1
o	464.2	1152.7
o	501.5	1187.6
o	490.3	1171.5
o	518.7	1245.1
o	525.3	1464.3
o	464.2	1020.7
o	635.5	1164.9
o	505.9	1270.7
o	542.7	1150.8
u	501.1	1585
u	332.7	1518
u	326.9	1880.9
u	378	1731.8
u	463.8	1526.2
u	423.2	1198.1
u	417.3	1190.7
u	466.9	1599.7
u	335.4	1083.1
u	297.6	959.7
u	459.4	1220.5
u	465.2	1392.3
u	239.8	1905.5
u	476.1	1403.3
u	411.6	1144
u	375	1745.9
u	447.8	1773.4
u	441	1783.7
u	494	1442.7
u	379.5	1571.3
u	364	1708.3
u	401.1	1602.2
u	414.1	1787.3
u	535.3	865.3
u	367.2	1852.9
u	404.7	1606
u	531.7	1379.5
u	430.3	1068.3
u	342.9	1167.5
u	499.4	1143.7
u	411.6	1681.4
u	461.4	1485.2
u	412.4	1320.4
u	466.1	1390.6
u	503	1690.3
u	438.2	1461.9
u	535.5	1137
u	360.1	1235.9
u	406.7	1645.7
u	414.3	1088.4
u	433.4	958.8
u	548.7	1218.2
u	505.3	1173.9
u	411.8	1301.3
u	428.1	1273
u	371	1247.7
u	395.7	1240.4
u	434	1166.4
u	375	1198.9
