gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_orth_epps,hup_m05,hup_ramepps,yhp_m05,yhp_silva
beiju,flatbread,--,,--,bǎ:ʔ ̚,bǎʔ,baá’,ɓǎ̰:ʔ ̚,bʼàʼ,ɓâ̰:ʔ ̚,NF
comida,food,--,,--,wɛ̌:d,wěd,weéd,wɛ̌:dn,wed,wɛ̂:dn,wén
goma,tapioca,ʃɛ̃jnũ:h; ʔenũh,,nũ:h,nũ̌:h,nũ̌h,nuúr,nũ̌:h,nùh,nũ̂:h,núh
girino,tadpole,--,,--,nud,nǔd,nuúd,nduɾudn,durùd,--,dud un
rã,frog,--,,c ʼ ʌ̰: j,c ʼ â: j,câj,çaày,--,sʼày,--,saáy
rã (sp.),frog (sp.),woh,,woh,woh,woh,wôr,woh,wö́h,woh,wä
rã (sp.) (Leptodactylus sp.),frog (sp.),jɤgŋ,,jɤkŋ,jəx,jəx,yâx,jɤx,,--,
rã (sp.),frog (sp.),jṵ:ʔ,,--,jǔ:h,jǔh,yuúr,jǔ:h,,jǔ:h,
sapo (fam. dos bufonídeos),toad,c ʼapɤ ʔ,,c ʼapɤ :h,pɤ̌:ʔ,pə̌ʔ,pâá’,--,,--,
animal de caça,game (hunted animal),--,,--,hũ̂:,hũ̂,rũù,hũ̂:,NF,hũ̂:h,hũh;hũ
cuandu 1 (porco-espinho) (fam. dos bufonídeos),porcupine,kako: ʃ,kakoos yb,kaku: ʃ,--,,,--,NF,--,NF
cuandu 2 (porco-espinho) (fam. dos bufonídeos),porcupine,--,,--,pû:g,pǔg,puùg,pû:gŋ,pùg,pû:gŋ,púg
cutia 1 (Dasyprocta fuliginosa),agouti,--,,--,mɛ̃̌:t,mæ̃̌t,mẽét,mɛ̃̌:t,mèt,mɛ̃̂:t,mét
cutia 2 (Dasyprocta fuliginosa),agouti,mãjã:w,,mĩjã:w,--,,,--,NF,--,NF
cutiuaia 1 (Myoprocta pratti),green acouchi,--,,--,k ʼ aɟ,kaɟ,kaj,k ʼ aʲɟɲ,,k ʼ aʲɟɲ,
cutiuaia 2 (Myoprocta pratti),green acouchi,mãbɤgŋ,mabëng,wɤbɤgŋ,--,,,--,,--,
Jupará,kinkajou (Potus flavus),--,,--,hɛ̃̂:n,--,--,mɛ̃hɛ̃̌:n,mehèn,--,
Jupará,Eastern lowland olingo (Bassaricyon alleni),wac ʼ ɔ̃g,,wɔ̃hc ʼ ɔ̃g,c ʼ ɔ̰̃k,cɔ̃k,çõk,wɔ̃hcɔ̰̃k,wõhsṍk,--,
Lontra,otter (Pteronura brasiliensis),ʔajo̰:g,ajʼoog,ʔajɔ̰:g,ʔjɔ̌:k,j’ɔ̌k,‘yoók,dʲɔkpǒ:gŋ,,jɔ̂:k,yok
Macaco (sp de sagui),tamarin monkey (Saguinus inustus),jãmãʃi:ʃ,,mĩʃi:ʃ,ʃî:ɟ,ʃîɟ,siìj,--,,,
Macaco-barrigudo,woolly monkey (Lagothrix lagotricha),--,,--,ʔoh,ʔoh,ôr,ʔoh,ö́h,ʔɔ̌h,öh
Macaco-caiarara,wedge-capped capuchin monkey (Cebus olivaceus ),ʃãmɯ̃:j̃,samỹỹj,ʃãmã:j̃,mɔ̃̂:j̃,mɔ̃̂j,mõòy,--,,mɔ̃̂:j̃,
Macaco-de-cheiro,squirrel monkey (Saimiri sciureus),baɾi:d,,mãɾid,--,,,--,,--,
Macaco-de-cheiro,squirrel monkey (Saimiri sciureus),--,,--,biɟ,biɟ,bij,ɓɯ̰ʲɟɲ,,--,
Macaco-da-noite,night monkey (Aotus vociferans),kɯ̃jkɯ̃:j,,kujiʔ,xujʔ,xuj’,xuy’,kukuj,kukúy,kukǔ:j,kukuy
Macaco-guariba,howler monkey (Alouatta seniculus),--,,--,tû:g,tûg,tuùg,tǔ:gŋ,tùg,tû:gŋ,túg
Macaco-prego,tufted capuchin monkey (Cebus apella),jawʌ̰:j,jawʼëëj,jawʌ̰:j,wǎ:ʃ,wǎʃ,waás,jawǎ:ç,yawàç,wâ:jʰ,
Macaco uacari-preto,golden-backed uakari monkey (Cacajao melanocephalus),--,,--,ʔɛ̃̌:ʃ,‘æ̃̌ʃ,ẽés,ʔɛ̃ç,,ʔɛ̃̂:jʰ,
Macaco zogue-zogue,collared titi monkey (Callicebus torquatus),k ʼ ṵ:k,,k ʼ o̰:kŋ,k ʼ ô̰:g,kôg,kôòg,k ʼ ô̰:gŋ,kʼö̀g,k ʼ ô̰gŋ,köö́g
Morcego 1,bat (Desmodus rotundus),--,,--,bɯx,bʉx,bʉx,cɯɓɯ̃h,,--,
Mucura,opossum (Didelphis sp.),c ʼ awa:j,tsawaaj,c ʼ awa:j,w̰ʔɛj,wæ̂j,weèy,ʃãm̰ʔã̂:j,saʼmáy,--,
Onça,jaguar (Panthera onca),--,,--,j̰̃ãmxɯʔ,j’amxɨʔ,‘yamxʉ’,j̃ãʔãm,yaʼám,j̃ãʔã̌:m,yãam
Paca,paca (Agouti paca ),daʔpa:ʔ,depaa,nẽpa:h,paʔ,paʔ,pa’,--,,--,
Porco,peccary (Tayassu pecari),to:h,tooh,to:h,tɔh; tɔhmɛ̃t,tɔh,tor,tɔ̃h,tṍh,tɔ̃hmɛ̃t; tɔ̃̌:h,
Quati,ringtail coati (Nasua nasua),--,,--,ʃû:,ʃû,suù,cû:,sú,cû:h,su
Tamandua,collared anteater (Tamandua tridactyla),jɔdn,,jɔdn,jɔdn,jɔn,yon,--,,jɔ̃̌:n,yõn
Tamandua 1,giant anteater (Myrmecophaga tridactyla),jahu:dn,jahuun,ʔihu:dn,xû:dn,xûn,xuùn,--,,--,
Tamandua 2,giant anteater (Myrmecophaga tridactyla),mɯgŋ,,mbɯ̌:gŋ,mbɯ̌:gŋ,mɨg [apelido do tamandua],mʉg [apelido do tamandua],--,,--,
Tatu-galinha 1,armadillo (Dasypus novemcinctus),--,,--,jɤ̂:w,jəw,yâw,jě:w,yë̀w,jê:w,yë́w
Tatu-galinha 2,armadillo (Dasypus novemcinctus),wḛ:ɟ,,wḛ:ɟ,--,,,--,,wî:ʲɟɲ,
Tatu canastra,giant armadillo (Priodontes maximus),--,,--,ʔõ̌:k,ʔɔ̃̌k,õók,ʔǒ:k,,--,
Veado-catingueiro,gray brocket deer (Mazama gouazoubira),--,,--,c ʼ ɤc ʼ ǎ:h,cocǎh; cohcâ,çôoçaár; çôrçaà,mɔ̃hɔ̃jʼc ʼ â:,,mɔ̃hɔ̃j̃ʼc ʼ â̰:h,mohóy-saa
Veado-mateiro,red brocket deer (Mazama americana),--,,--,cʼɤhɤ̂:w,cohə̌w,çôorâáw,mɔ̃hɔ̃j̃hɤ̌:w,,mɔ̃hɔ̃j̃hɤ̂:w,mohóy-hä́w
Cauda,tail,dɔ̃m,dõm,nɔ̃m,dubm,dum,dum,ɗṵbm,daràp,ɗṵbm,duum
Chifre,horn,ʃã̰:n,,ʃã̰:n,ʃã̰̌:nʔ,ʃã̂n’,sãán’,cã̰̌:nʔ,sànʼ,cã̰̂:nʔ,
Couro ou pele,skin,bɯ:h,byyh,bɯ:h,bɯk,bɨk,bʉk,--,,--,
Gordura 1,fat; grease,--,,--,nɛ̃g,næ̃g,nẽg,nã̌:ŋ,,nã̌:ŋ,nag
Araçari,aracari (small toucan) (Pteroglossus sp.),jʌ:b,,--,jâ b,jâb,yaàb,--,,jâ:bm,
Araraçanga 1,macaw (Ara macao),--,,--,--,,,jǎ:k ,yàk,jǎ:k ,yák
Araraçanga 2,macaw (Ara macao),k ʼ aʔɾo:ʔ,,k ʼ aɾu:h,k ʼ a lʔ,kǎl’,kaál’,--,,--,
Beija-flor 1,hummingbird (familia dos troquilideos),c ʼ i:p,,c ʼ i:p,--,,,--,,--,
Beija-flor 2,hummingbird (familia dos troquilideos),--,,--,ʃug,ʃug,sug,cu:gŋ,súg,cǔ:gŋ,sug
Coruja 1,owl (genero otus),--,,--,--,wěw’,wêéw’,pɤpɤp,päpä́p,pɤpɤ̌:p,päpäp
Coruja 2,owl (genero otus),wo̰:ɾə,wʼoor,wo̰:ɾə,--,,,--,,--,
