gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
tail,Cauda,dɔ̃m,nɔ̃m,dõm,dubm,dubm,ndaɾàp,dʼṵbm,nduubm,dʼṵbm
crab (gen. Trichodactylus),Caranguejo,c ʼ ahʌ:bm,c ʼ ʌhʌ:bm,,xâbm,xâ:bm,,,,
lower,Abanar,hәbm,,,hem’,hebmʔ,héb́,hebmʔ,hemʔ,hɛbmʔ
finish,Acabar 3,jã:m,jã:m,,jɛ̃̂m paɾaɾ tɾabalho,jɛ̃̂:m,NF,,NF,
bathe; swim,Banhar,c ʼ ɔbm,c ʼ ɔbm,acᴐbm,cɔbm,c ʼ ɔbm,sʼᴐ́m,c ʼ ɔ̰̌̃:m,sᴐ̃ᴐm,c ʼ ɔ̰̃m
yawn,Bocejar 1,habm haw,habm,no: kehabm,,,NF,,NF,
fight,Brigar,ʔo:bm,,eo:bm,ʔũ̂m bateɾ,ʔũ̂:m,ũhmɛ́h,ʔũhmɛ̃h,ũh ũm,ʔũm
sing,Cantar,jʌ:bm jʌbm,jʌ:bm,ejʌbm,jãmhɨ̃h,jãm,yam,jãm,yãm,jãm
dabucuri; dance,Dabucuri; dancar,jәbm jʌbm,jʌbm,jәbm,jabm,jabm,yám,jãm,,jãb
go,Ir,hṵ̃:m hãm,hã:m,,hãm,hã̂:m,ham,hã̂:m,hãm,hãm
plant,Plantar,jo:bm,jo:bm,ejo:bm,jũ̌m,jũ̌:m,yum,jũ̌:m,yũm,jũm
miss (someone; something),Saudade,k ʼ ʌ:bm,k ʼ a:bm,,,,,,,
shoot with blowgun zarabatana,Soprar com,ʔeʃo:bm ʔeʃo:w,,eso:bm,ʃɔw,ʃɔw,sᴐ́w,cɔw,sᴐw’,cɔw
fear,Temer,ʔɨ̃:m ʔʌ̃m,ʔɨ̃:m,eɨ̃ɨ̃m,ʔã̂m,ʔã̂:m,ᴐ́m,ʔɔ̃m,ᴐ̃m,ʔɔ̃m
louse,Piolho,nã:m,nã:m,na:bm,nɛ̃̂m,nɛ̃̂:m,nɛ̀m,nɛ̃̌:m,nɛ́bm,nɛ̃̂:m
wife,Esposa,ʔɨ̃:m ʔʌ̃m,ʔɨ̃̃:m,ɨ̃ɨ̃m,ʔã̂m,ʔã̂:m,,,,
acará fish (Familia dos ciclideos),Acará (sp.),dobm,dobm,,dobm,dobm,ndʼóbm,dʼo̰bm,ndoobm,dʼo̰bm
2sg,2sg Voce,ʔɔ̃m,ʔɔ̃m,õm,ʔãm,ʔãm,ám,ʔãm,,ʔã̌m
long,Comprido 2,ɾɔbm ɾɔw,,,jɔbm long toɾso – animate,jɔw jɔbm,,,,
cold,Frio 2,hә:bm hә:w,hә:bm,hahә:bm,,,,,,
round,Redondo,k ʼ aɾaɾebm k ʼ aɾaɾew,k ʼ anãɾebm,,lebm ndebm,lebm nebm,ndeɾébm,ndeɾebm,,debm
alive,Vivo,,,,jɨbm vivo ʔɨb acoɾdaɾ,ʔɨb,ɨbʼ,ʔɨb,,
pair; companion; twin ; gemeo,Par; companheiro,mãb,,,mbǎm’,mã:bmʔ,mbábʼ,mbǎ:bmʔ,,
yesterday,Ontem,c ʼ ɛbm,c ʼ ɛbm,,cɛ̌bm,c ʼ ɛ̌:bm,sím’,c ʼ ã̰̂:m,sãam,c ʼ ã̰̌:m
axe,Machado,mɨ̃:m,mɨ̃:m,mɨ̃ɨ̃m,mã̂m,mã̂:m,mᴐ̀m,mɔ̃̂:m,mᴐ́bm,mɔ̃̂:m
cipó vine,Cipó (generico),ju:bm,,ju:bm,jubm,jubm,yúbm,jubm,yubm,jǔ:bm
root,Raiz 2,kɔbm,kɔbm,kᴐbm,xɔbm ɾoots extending fɾobm tɾunk to gɾound,xɔbm,,,,
seed,Semente 1,tɨbm,tɨbm,tatɨbm,tɨbm,tɨbm,,,,
mushroom,Cogumelo (sp.),pәbm,pәbm,bʼa: pәbm,pəm’,pәb pәbmʔ,pàç,pәbʔ,,pәbʔ
curare poison,Veneno 2 (sp.),pɨ̰:bm,pɨ:bm,pʼɨ:bm,wɨbm stɾong,,nàm,pɨ̌:bm,,pɨ̌:bm
bacaba palm,Bacaba 2,ʃawɨ:bm,ʃɨwɨ:bm,sawɨ:bm,wîbm,wî:bm,wᴐ́s,ciwǐ:bm,wíbm,wî:bm
bat,Morcego 2,wәbm,wәbm,wәbm,,,,,,wә̌:bm
night,Noite,c ʼ әbm,c ʼ әbm,acәbm,cebm,c ʼ ebm,sʼә́bm,c ʼ ә̰bm,sәәbm,c ʼ ә̰bm
eye,Olho,mãtɨbm,mãtɨbm,matɨbm,tɨbm,tɨbm,tɨ̀bm,,,
foot,Pe,c ʼ ɨ:bm,c ʼ ɨ:bm,cɨ:bm,cɨ̂bm,c ʼ ɨ̂:bm,sʼìbm,c ʼ ḭ̌:bm,siíbm,c ʼ î:bm
clear brush/trees,Roçar 1,k ʼ ә:bm k ʼ ә:w,k ʼ ә:w,gә:w,xǎp coɾtaɾ plantas pequenas pɾimeiɾo kâw deɾɾobeɾ aɾvoɾes,k ʼ â:w,,,,
blood,Sangue,mãjɨ:w mãjɨ:bm,mɨ̃jɨ:w,majɨ:w,jɨ̂w,jɨ̂:w,mbiyìw,mbĩjî:w,,dîw
