gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
food,comida,,,,wěd,wɛ̌:d,wɛdn,wɛ̌:dn,wɛ́dn,wɛ̂:dn
tadpole,girino,,,,ndǔd,nud,nduɾùdn,nduɾudn,ndud udn,
squirrel monkey (Saimiri sciureus),Macaco-de-cheiro,baɾi:d,mãɾid,,,,,,,
collared anteater (Tamandua tridactyla),Tamandua,jɔdn,jɔdn,,jɔdn,jɔdn,,,yᴐ̃n,jɔ̃̌:n
giant anteater (Myrmecophaga tridactyla),Tamandua 1,jahu:dn,ʔihu:dn,jahu:dn,xûdn,xû:dn,,,,
toucan (Ramphastos sp.),Tucano,ʃoked ʃaked ʃuked,ʃaked,suked,cokwet,c ʼ okʼwet,sᴐkwʼә́t,cokw̰әt,sᴐkәt,cɔhkәt
nocturnal currasow (Nothocrax urumutum),Urumutum,,,,tǔdn,tǔ:dn,mᴐytùdn,mɔ̃jtǔ:dn,mᴐytudn,mɔ̃jtǔ:dn
red,Vermelho 2,hi:dn,hi:ɟɲ,hahi:dn,,,,,,hě:ɟɲ
nematode (roundworm) (Ascaris lumbricoides),Lombriga,ʃɔ:d,ʃɔ:d,,ʃɔ̌t,ʃɔ:t,NF,,NF,
open,Abrir 2,je:ɟɲ jḛ:j,,,jǐc pull apaɾt wovedn thing,jɛɟ,sódn,,hah,
smooth,Alisar,hawә:k,hawʌg,,,,NC wádn wɨ́m,hәk,NC yãh wɨ̃m,
tie,Amarrar,da̰:p da:b,,,dâb mbend e.g. atuɾá kək tie idn geneɾal,dâ:b,sʼɨ́p wʼɨ́t,,tabm,tabm
appear,Aparecer,,,,hadn,hadn,mbobóbm,bahadn,wahadn,
warm up,Aquecer,,,,hɛ̃d jǔʔ,k ʼ ɨ̰ʔ,NF,k ʼ ɨ̰̂ʔ,kɨʔ,k ʼ ɨ̰ʔ
carry (on back?),Carregar,ʃә:t ʃә̰:d,ʃә:d,,ʃět,ʃě:t,sét,cě:t,set,cet
meet; encounter,Chegar; encontrar,wɨt,wɨt,,wɨ̂d,wɨd,wɨdn,wɨdn,wɨt,wɨt
cry,Chorar,ʔo:t ʔɔd,ʔɔd ʔo:t,ao:t,ʔɔ̃̌t,ʔɔ̃̌:t,ᴐ́t,ʔɔt,ᴐtᴐ̃t,ʔɔt
itch,Coçar 2,ʃɨ̰:t ʃɨ:d, ,,ʃîd,ʃĩnʔ,?,w̰obm,?,wobm
eat,Comer 2,,,,wɛ̂d,wɛ̂:d,,wɛ̌:dn,wɛdn,wɛdn
cut (saw),Cortar 2,k ʼ ahɔ̃k k ʼ ahɔ̃g ʔahɔ̃kk ʼ akɨd,hɔ̃:kŋ hɔ̃g,gehõk,hɔ̃k saw,hɔ̃̌:k,hᴐ̃́k,hɔ̃̌:k,hᴐ̃k,hɔ̃k
lie (on ground),Deitar 2,jat jad,,ajat,jɛt no chão,jet,yɛt,jɛt,yɛt,jɛt
peel,Descascar 1,k ʼ ɔ̃p  k ʼ ɔ̃b ,,,kob inga abiu take out of pod/hull,k ʼ ob,,k ʼ obm,,
wrap up,Embrulhar,,c ʼ әʔ,,cəʔ w/ leaves papeɾ xop idn blanket,c ʼ әʔ,,c ʼ әʔ,,
meet,Encontrar,wɨ̰:t wɨ:d,wɨ:d,,wəj’ wɨ̂d chegaɾ,wɨ̂:d,,,,
slip,Escorregar,c ʼ adup c ʼ adub,c ʼ adub,,ditxəd,,,,,
write,Escrever,hɨ:ʔ hɨʔ,,,dâd,,hɨ̀ʔ,hɨʔ,hɨ’,hɨʔ
