gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
frog (sp.),rã (sp.) (Leptodactylus sp.),jәgŋ,jәkŋ,,jəx,jəx,,jәx,,
porcupine,cuandu 2 (porco-espinho) (fam. dos bufonídeos),,,,pǔg,pû:g,pùgŋ,pû:gŋ,púg,pû:gŋ
green acouchi,cutiuaia 2 (Myoprocta pratti),mãbәgŋ,wәbәgŋ,mabәgŋ,,,,,,
Eastern lowland olingo (Bassaricyon alleni),Jupará,wac ʼ ɔ̃g,wɔ̃hc ʼ ɔ̃g,,cɔ̃k,c ʼ ɔ̰̃k,wᴐ̃hsᴐ̃́k,wɔ̃hcɔ̰̃k,,
otter (Pteronura brasiliensis),Lontra,ʔajo̰:g,ʔajɔ̰:g,ajʼo:g,j’ɔ̌k,ʔjɔ̌:k,,dʲɔkpǒ:gŋ,yᴐk,jɔ̂:k
howler monkey (Alouatta seniculus),Macaco-guariba,,,,tûg,tû:g,tùgŋ,tǔ:gŋ,túg,tû:gŋ
collared titi monkey (Callicebus torquatus),Macaco zogue-zogue,k ʼ ṵ:k,k ʼ o̰:kŋ,,kôg,k ʼ ô̰:g,kʼògŋ,k ʼ ô̰:gŋ,koóg,k ʼ ô̰gŋ
giant anteater (Myrmecophaga tridactyla),Tamandua 2,mɨgŋ,mbɨ̌:gŋ,,mbɨg apelido do tamandua,mbɨ̌:gŋ,,,,
fat; grease,Gordura 1,,,,nɛ̃g,nɛ̃g,,nã̌:ŋ,nag,nã̌:ŋ
hummingbird (familia dos troquilideos),Beija-flor 2,,,,ʃug,ʃug,súgŋ,cu:gŋ,sug,cǔ:gŋ
harpy eagle?; hawk (Harpia harpyja),Gaviao-real,wi:ʔ,wi:h,wawi:,wǐh,wǐ h,wihpògŋ,wǐ h pǒg,wíh,wî h
nest,Ninho,mã:g,mã:g,,mbeʔ,,,,,
