gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
tail,Cauda,dɔ̃m,nɔ̃m,dõm,dubm,dubm,ndaɾàp,dʼṵbm,nduubm,dʼṵbm
hummingbird (familia dos troquilideos),Beija-flor 1,c ʼ i:p,c ʼ i:p,,,,,,,
owl (genero otus),Coruja 1,,,,wěw’,,pәpә́p,pәpәp,pәpәp,pәpә̌:p
japu (Psarocolius sp.) [Gymnostinops is outdated name] (Gymnostinops,Japu-do-bico-encarnado,dṵb,do̰:b,,dǒp,dǒ:p,ndʼóp,dʼǒ̰:p,ndoop,dʼô̰:p
moriche oriole (Icterus chrysocephalus),Rouxinol,,c ʼ u: b,,ʃǐp,c ʼ û: b,,,,
egg,Ovo,ʔetɨ:p tɨb,tɨb,tɨb,tɨ̌p,tɨ̌:b,tip,tǐ:p,típ,tî:p
drown,Alagar; inundar,   k ʼ ɨ̰:p k ʼ ɨ̰:b,k ʼ ɨ̰:b,,kɨ̂bm,k ʼ ɨ̃̂:m,k’ɨ́m,k ʼ ɨ̃̂:m,NC yɨ̃wʔ,
tie,Amarrar,da̰:p da:b,,,dâb mbend e.g. atuɾá kək tie idn geneɾal,dâ:b,sʼɨ́p wʼɨ́t,,tabm,tabm
kiss,Beijar,c ʼ u:p c ʼ u:b,c ʼ u:b,,cũ̌ɲ’,c ʼ ũ̌:ɲʔ,sʼṹp,c ʼ ṵ̃p,sũup,c ʼ ṵ̃p
fetch water,Buscar agua,k ʼ ɔp k ʼ ɔb,k ʼ ɔp k ʼ ɔb,,kɔp,k ʼ ɔp,kʼᴐ́p,k ʼ ɔ̰p,ka ʼkᴐᴐp,k ʼ ɔ̰p
grow,Crescer 1,,,,peg ʃǎk,,sap,cap,sap,cap
peel,Descascar 1,k ʼ ɔ̃p  k ʼ ɔ̃b ,,,kob inga abiu take out of pod/hull,k ʼ ob,,k ʼ obm,,
peel,Descascar 2,ʃo:ʃ ʃo̰:j,ʃɔ̰:j,,xɛp descascaɾ mbandioca dɛʃ bɾeak shell – ucuqui coco cupuaçu,,,,,
wrap up,Embrulhar,,c ʼ әʔ,,cəʔ w/ leaves papeɾ xop idn blanket,c ʼ әʔ,,c ʼ әʔ,,
slip,Escorregar,c ʼ adup c ʼ adub,c ʼ adub,,ditxəd,,,,,
lick,Lamber,dɛ̃:p dɛ̃:b,nɛ̃:b,,dɔ̂n nɛ̃̌p talvez na lingua dos velhos?,n̰ɛ̃p,n’ɛm’,nʔɛ̃mʔ,,
submerge,Mergulhar,hop hob,hob,,hop,hop,hóp,hop,hop,hop
grate,Ralar,hʌ̃p hʌ̃b,hãb,ehә̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p
scrape,Raspar 1,hap,hab,,xɛp,xɛp,,hap,,
dry,Secar 1,0,,,xɔ̌p,xɔp ,,hɔp,,hɔp
ascend,Subir (beira-rio),ʃɔp ʃɔb,ʃɔp,,ʃɔ̌p,ʃɔ̌:p,sᴐ́p,cɔp,sᴐp,cɔp
shoot with slingshot,Tecar (??),,,,wɔ̃̌p tiɾaɾ com baladeiɾa,wɔ̃p,,w̰ʔɔ̃p,,
sweep,Varrer,,ha:p ha:b,,xɛ̌p,xɛ̌:p,,hεp,,hεb
people,Gente 2,jihub,juhub,,dəw xup coɾpo,xup,,hup,,juhup
meat,Carne,dab,dab,dab,dɛp,dɛp,mbʼay,dʼa̰p,ndaap,dʼǎ̰:p
body,Corpo,hub,hub,,xup,xub,,hubʃap,sap,cap
right hand,Mão direita,tahub,nẽmɔ̃hub,,ʃôb xup,xup,,mũhǔ:p,,
chest,Peito,,,,bə̌p,,hũʔ,hɔ̃ʔtә̂:gŋ,hᴐ̃tәg,hɔ̃ʔtә̌:gŋ
cockroach,Barata 1,,,,ndǎp,nǎ:p,ndadáp,ndaɾap,ndadáp,ndahndǎ:p
butterfly,Borboleta (generico),,,,mbɛbm,mɛbm,mbʼòʔ,bʼḛbʼḛp,,bebep
larva; caterpillar,Larvas,,,,tõ̌h,,,pɔpɔ̌:p,pᴐp,pɔ̂:p
fly,Mosca,,,,cɔp,c ʼ ɔ̰p,,c ʼ ɔ̰p,,c ʼ ɔ̰p
deep,Fundo 2,tɔ̰̃p,tɔ̰̃p,,,,,,,
fish,Peixe (generico),hɨ̰̃:b,hã̴̰:b,tahʼɨ̃ɨ̃b,hã̌p,hǎ̃:p,hә́bm,hɔ̃̌:p,hᴐ̃p,hɔ̃̂:p
thin,Fino,ʃa̰:p ʃa:b,,sawasa:b,ʃə̌p foɾ mbateɾial e.g. wood cloth etc.,ʃә̌:p,sәsә̀w,cә̌:p,,cә̂:p
dry,Seco,,,,xɔp,,,hә̂:bm,hәbm,hә̂:bm
TRUE,Verdadeiro,,,,xǔp,xup,,,,hub
two,Dois,,tɨbmwɔp,,tɨ̌bm cf. tɨbm ‘eye’,tɨ̌:bm,,,,
plural,Plural 1,poʔwɔp tamãʔwob,tɨbmwɔp poʔwɔb,,,,,,,
plural,Plural 2,,,,hawap quantos?,hawap mutwap,,aʔap haʔap,,
canoe,Canoa,ho̰:h,hɔ̰:h,hʼo:h,xɔ̂,xɔ̂:,hᴐ́p,hɔ̌:h,hᴐ́h,hɔ̂:h
house,Casa 2,tɔb,tɔb,tᴐb,tɔp,tɔp,,tɔp,,
grater,Ralo,,hãb,,hɨ̃̌p,hɨ̌̃:p,hɨ̃p,hɨ̌̃:p,hɨ̃́p,hɨ̌̃:p
cipó sp.,Cipó (sp.),ʃaɾo:p,ʃoɾo:p,saɾo:p,,,wɛɾᴐ́,,,
embira (tree w/ cloth-like bark) (familia das anonaceas),Embira 1,ʃɨ̰:b,ʃɨ̰:b,sʼɨ:b,ʃɨ̌p,ʃɨ̰:p,,,sɨɨp,ʃɨ̰:p
cashew (Anacardium sp.),Caju,,,,waʃap,,yahám,ɲãhãm,yãham,jãhã:m
father,Pai 1,ʔɨb,ʔɨb,ɨb,ʔǐp,ʔǐ:p,,ʔǐ:p,íp,ʔǐ:p
clear brush/trees,Roçar 1,k ʼ ә:bm k ʼ ә:w,k ʼ ә:w,gә:w,xǎp coɾtaɾ plantas pequenas pɾimeiɾo kâw deɾɾobeɾ aɾvoɾes,k ʼ â:w,,,,
