gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
agouti,cutia 1 (Dasyprocta fuliginosa),,,,mɛ̃̌t,mɛ̃̌:t,mɛ̀t,mɛ̃̌:t,mɛ́t,mɛ̃̂:t
peccary (Tayassu pecari),Porco,to:h,to:h,to:h,tɔh,tɔh tɔhmɛ̃t,tᴐ̃́h,tɔ̃h,,tɔ̃hmɛ̃t tɔ̃̌:h
toucan (Ramphastos sp.),Tucano,ʃoked ʃaked ʃuked,ʃaked,suked,cokwet,c ʼ okʼwet,sᴐkwʼә́t,cokw̰әt,sᴐkәt,cɔhkәt
blue; green,Azul; verde,jabaɾǔ: t ,maɾu: t ,,mɨ̃̂,,,,,
wound (causada por corte),Ferida 1,,,,ndɔh,nɔ:h,NF,,ndᴐᴐh tᴐ ɾᴐt,ndɔ̌:h
nematode (roundworm) (Ascaris lumbricoides),Lombriga,ʃɔ:d,ʃɔ:d,,ʃɔ̌t,ʃɔ:t,NF,,NF,
open,Abrir 2,je:ɟɲ jḛ:j,,,jǐc pull apaɾt wovedn thing,jɛɟ,sódn,,hah,
tie,Amarrar,da̰:p da:b,,,dâb mbend e.g. atuɾá kək tie idn geneɾal,dâ:b,sʼɨ́p wʼɨ́t,,tabm,tabm
scratch,Arranhar,kuʃ kuɟ,,,xôj,xô:ɟ,kój,koʲɟɲ,hɨ kĩit,
carry (on back?),Carregar,ʃә:t ʃә̰:d,ʃә:d,,ʃět,ʃě:t,sét,cě:t,set,cet
meet; encounter,Chegar; encontrar,wɨt,wɨt,,wɨ̂d,wɨd,wɨdn,wɨdn,wɨt,wɨt
cry,Chorar,ʔo:t ʔɔd,ʔɔd ʔo:t,ao:t,ʔɔ̃̌t,ʔɔ̃̌:t,ᴐ́t,ʔɔt,ᴐtᴐ̃t,ʔɔt
itch,Coçar 2,ʃɨ̰:t ʃɨ:d, ,,ʃîd,ʃĩnʔ,?,w̰obm,?,wobm
run,Correr,,,,ʔɔx,ʔɔx,,to ʼ ʔoh,,t ʼ ô̰:h
lie (on ground),Deitar 2,jat jad,,ajat,jɛt no chão,jet,yɛt,jɛt,yɛt,jɛt
