gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_eppsob_pht,hup_m05,hup_ramepps,hup_ramepps_pht,yhp_m05,yhp_silva,yhp_silva_pht
beiju,flatbread,--,,--,ba?:? ?,ba??,ba??,?a??:? ?,b?a??,mb?a??,?a??:? ?,NF,NF
comida,food,--,,--,w??:d,we?d,we?d,w??:dn,wed,w?dn,w??:dn,we?n,w??dn
goma,tapioca,???jnu?:h; ?enu?h,,nu?:h,nu??:h,nu??h,nu??h,nu??:h,nu?h,nu?h,nu??:h,nu?h,nu?h
girino,tadpole,--,,--,nud,nu?d,ndu?d,ndu?udn,duru?d,ndu?u?dn,--,dud un,ndud udn
ra?,frog,--,,c???: j,c?a?: j,ca?j,ca?j,--,s?a?y,s?a?y,--,saa?y,saa?y
ra? (sp.),frog (sp.),woh,,woh,woh,woh,woh,woh,wö?h,wo?h,woh,wä,w?
ra? (sp.) (Leptodactylus sp.),frog (sp.),j?g?,,j?k?,j?x,j?x,j?x,j?x,,,--,,
ra? (sp.),frog (sp.),ju?:?,,--,ju?:h,ju?h,ju?h,ju?:h,,,ju?:h,,
sapo (fam. dos bufoni?deos),toad,c?a-p? ?,,c?a-p? :h,p??:?,p???,p???,--,,,--,,
animal de caça,game (hunted animal),--,,--,hu??:,hu??,hu??,hu??:,NF,NF,hu??:h,hu?h; hu?,hu?h hu?
cuandu 1 (porco-espinho) (fam. dos bufoni?deos),porcupine,kako: ?,kakoos yb,kaku: ?,--,,,--,NF,NF,--,NF,NF
cuandu 2 (porco-espinho) (fam. dos bufoni?deos),porcupine,--,,--,pu?:g,pu?g,pu?g,pu?:g?,pu?g,pu?g?,pu?:g?,pu?g,pu?g
cutia 1 (Dasyprocta fuliginosa),agouti,--,,--,m???:t,mæ??t,m???t,m???:t,me?t,m??t,m???:t,me?t,m??t
cutia 2 (Dasyprocta fuliginosa),agouti,ma?ja?:w,,mi?ja?:w,--,,,--,NF,NF,--,NF,NF
cutiuaia 1 (Myoprocta pratti),green acouchi,--,,--,k?a?,ka?,ka?,k?a???,,,k?a???,,
cutiuaia 2 (Myoprocta pratti),green acouchi,ma?b?g?,mabëng,w?b?g?,--,,,--,,,--,,
Jupara?,kinkajou (Potus flavus),--,,--,h???:n,--,,m??h???:n,mehe?n,m?h??n,--,,
Jupara?,Eastern lowland olingo (Bassaricyon alleni),wa-c???g,,w??h-c???g,c????k,c??k,c??k,w??h-c???k,wo?h-so??k,w??hs???k,--,,
Lontra,otter (Pteronura brasiliensis),?a-jo?:g,a-j?oog,?a-j??:g,?j??:k,j’??k,j’??k,d??kpo?:g?,,,j??:k,yok,y?k
Macaco (sp de sagui),tamarin monkey (Saguinus inustus),ja?ma?-?i:?,,mi?-?i:?,?i?:?,?i??,?i??,--,,,,,
Macaco-barrigudo,woolly monkey (Lagothrix lagotricha),--,,--,?oh,?oh,?oh,?oh,ö?h,o?h,???h,öh,oh
Macaco-caiarara,wedge-capped capuchin monkey (Cebus olivaceus ),?a?-m??:j?,sa-m??j,?a?-ma?:j?,m???:j?,m???j,m???j,--,,,m???:j?,,
Macaco-de-cheiro,squirrel monkey (Saimiri sciureus),ba?i:d,,ma??id,--,,,--,,,--,,
Macaco-de-cheiro,squirrel monkey (Saimiri sciureus),--,,--,bi?,bi?,bi?,??????,,,--,,
Macaco-da-noite,night monkey (Aotus vociferans),k??jk??:j,,kuji?,xuj?,xuj’,xuj’,kukuj,kuku?y,kuku?y,kuku?:j,kukuy,kukuy
Macaco-guariba,howler monkey (Alouatta seniculus),--,,--,tu?:g,tu?g,tu?g,tu?:g?,tu?g,tu?g?,tu?:g?,tu?g,tu?g
Macaco-prego,tufted capuchin monkey (Cebus apella),jaw??:j,ja-w?ëëj,ja-w??:j,wa?:?,wa??,wa??,ja-wa?:ç,ya-wa?ç,yawa?ç,wa?:j?,,
Macaco uacari-preto,golden-backed uakari monkey (Cacajao melanocephalus),--,,--,????:?,‘æ???,‘????,???ç,,,????:j?,,
Macaco zogue-zogue,collared titi monkey (Callicebus torquatus),k?u?:k,,k?o?:k?,k?o??:g,ko?g,ko?g,k?o??:g?,k?ö?g,k?o?g?,k?o??g?,köö?g,koo?g
Morcego 1,bat (Desmodus rotundus),--,,--,b?x,b?x,b?x,c?-???h,,,--,,
Mucura,opossum (Didelphis sp.),c?a-wa:j,tsa-waaj,c?a-wa:j,w???j,wæ?j,w??j,?a?-m??a??:j,sa?-ma?y,sa?ma?y,--,,
Onça,jaguar (Panthera onca),--,,--,j??a?m x??,j’am x?? (j’ãm???),j’abm x??,j?a??a?m,ya?a?m,ya?a?m,j?a??a??:m,ya?am,ya?am
Paca,paca (Agouti paca ),da?-pa:?,de-paa,ne?-pa:h,pa?,pa?,pa?,--,,,--,,
Porco,peccary (Tayassu pecari),to:h,tooh,to:h,t?h; t?h m??t,t?h,t?h,t??h,to??h,t???h,t???:h,,
Quati,ringtail coati (Nasua nasua),--,,--,?u?:,?u?,?u?,cu?:,su?,su?,cu?:h,su,su
Tamandua,collared anteater (Tamandua tridactyla),j?dn,,j?dn,j?dn,j?n,j?dn,--,,,j???:n,yo?n,y??n
