gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
flatbread,beiju,,,,bǎʔ,bǎ:ʔ ,mbʼàʔ,bʼǎ̰:ʔ ,NF,bʼâ̰:ʔ 
food,comida,,,,wěd,wɛ̌:d,wɛdn,wɛ̌:dn,wɛ́dn,wɛ̂:dn
tapioca,goma,ʃɛ̃jnũ:h ʔenũh,nũ:h,,nũ̌h,nũ̌:h,nùh,nũ̌:h,núh,nũ̂:h
tadpole,girino,,,,ndǔd,nud,nduɾùdn,nduɾudn,ndud udn,
frog,rã,,cʼʌ̰: j,,câj,cʼâ: j,sʼày,,saáy,
frog (sp.),rã (sp.),woh,woh,,woh,woh,wóh,woh,wә,woh
frog (sp.),rã (sp.) (Leptodactylus sp.),jәgŋ,jәkŋ,,jəx,jəx,,jәx,,
frog (sp.),rã (sp.),jṵ:ʔ,,,jǔh,jǔ:h,,jǔ:h,,jǔ:h
toad,sapo (fam. dos bufonídeos),c ʼapә ʔ,c ʼapә :h,,pə̌ʔ,pә̌:ʔ,,,,
game (hunted animal),animal de caça,,,,hũ̂,hũ̂:,NF,hũ̂:,hũh hũ,hũ̂:h
porcupine,cuandu 1 (porco-espinho) (fam. dos bufonídeos),kako: ʃ,kaku: ʃ,kako:s ɨb,,,NF,,NF,
porcupine,cuandu 2 (porco-espinho) (fam. dos bufonídeos),,,,pǔg,pû:g,pùgŋ,pû:gŋ,púg,pû:gŋ
agouti,cutia 1 (Dasyprocta fuliginosa),,,,mɛ̃̌t,mɛ̃̌:t,mɛ̀t,mɛ̃̌:t,mɛ́t,mɛ̃̂:t
agouti,cutia 2 (Dasyprocta fuliginosa),mãjã:w,mĩjã:w,,,,NF,,NF,
green acouchi,cutiuaia 1 (Myoprocta pratti),,,,kaɟ,kʼaɟ,,kʼaʲɟɲ,,kʼaʲɟɲ
green acouchi,cutiuaia 2 (Myoprocta pratti),mãbәgŋ,wәbәgŋ,mabәgŋ,,,,,,
kinkajou (Potus flavus),Jupará,,,,,hɛ̃̂:n,mɛhɛ̀n,mɛ̃hɛ̃̌:n,,
Eastern lowland olingo (Bassaricyon alleni),Jupará,wacʼɔ̃g,wɔ̃hcʼɔ̃g,,cɔ̃k,cʼɔ̰̃k,wᴐ̃hsᴐ̃́k,wɔ̃hcɔ̰̃k,,
otter (Pteronura brasiliensis),Lontra,ʔajo̰:g,ʔajɔ̰:g,ajʼo:g,j’ɔ̌k,ʔjɔ̌:k,,dʲɔkpǒ:gŋ,yᴐk,jɔ̂:k
tamarin monkey (Saguinus inustus),Macaco (sp de sagui),jãmãʃi:ʃ,mĩʃi:ʃ,,ʃîɟ,ʃî:ɟ,,,,
woolly monkey (Lagothrix lagotricha),Macaco-barrigudo,,,,ʔoh,ʔoh,óh,ʔoh,oh,ʔɔ̌h
wedge-capped capuchin monkey (Cebus olivaceus ),Macaco-caiarara,ʃãmɨ̃:j̃,ʃãmã:j̃,samɨ̃ɨ̃j,mɔ̃̂j,mɔ̃̂:j̃,,,,mɔ̃̂:j̃
