gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
frog,rã,,cʼʌ̰: j,,câj,cʼâ: j,sʼày,,saáy,
frog (sp.),rã (sp.),jṵ:ʔ,,,jǔh,jǔ:h,,jǔ:h,,jǔ:h
otter (Pteronura brasiliensis),Lontra,ʔajo̰:g,ʔajɔ̰:g,ajʼo:g,j’ɔ̌k,ʔjɔ̌:k,,dʲɔkpǒ:gŋ,yᴐk,jɔ̂:k
tufted capuchin monkey (Cebus apella),Macaco-prego,jawʌ̰:j,jawʌ̰:j,jawʼә:j,wǎʃ,wǎ:ʃ,yawàç,jawǎ:ç,,wâ:jʰ
collared titi monkey (Callicebus torquatus),Macaco zogue-zogue,kʼṵ:k,kʼo̰:kŋ,,kôg,kʼô̰:g,kʼògŋ,kʼô̰:gŋ,koóg,kʼô̰gŋ
armadillo (Dasypus novemcinctus),Tatu-galinha 2,wḛ:ɟ,wḛ:ɟ,,,,,,,wî:ʲɟɲ
horn,Chifre,ʃã̰:n,ʃã̰:n,,ʃã̂n’,ʃã̰̌:nʔ,sànʔ,cã̰̌:nʔ,,cã̰̂:nʔ
owl (genero otus),Coruja 2,wo̰:ɾə,wo̰:ɾə,wʼo:ɾ,,,,,,
piping guan,Cujubim (Pipile sp.),kajṵ:j,kajṵ:j,,xujǔj’,xujǔ:j ʔ,,,,
Spix’s guan (Penelope jacquacu),Jacu,jә̰:j,jə̰:j,,jěʃ,jěʃ,,jěc,,jěc
japu (Psarocolius sp.) [Gymnostinops is outdated name] (Gymnostinops,Japu-do-bico-encarnado,dṵb,do̰:b,,dǒp,dǒ:p,ndʼóp,dʼǒ̰:p,ndoop,dʼô̰:p
white-throated tinamou (Tinamus guttatus),Nambu-galinha,ho̰:h,ho̰:h,,mɔ̃hǒh,hǒ:h,mᴐhhòh,mɔ̃hǒ:h,,
yellow,Amarelo,ʃawʌ̰:k,ʔawa̰:kŋ,,,,,,,
open,Abrir 2,je:ɟɲ jḛ:j,,,jǐc,jɛɟ,,,,
drown,Alagar; inundar,   kʼɨ̰:p kʼɨ̰:b,kʼɨ̰:b,,kɨ̂bm,kʼɨ̃̂:m,k’ɨ́m,kʼɨ̃̂:m,NF,
tie,Amarrar,da̰:p da:b,,,dâb,dâ:b,,,tabm,tabm
rot,Apodrecer,ʔaʃʌ̰:ʃ ʔaʃa:ɟ,ʔaʃa:j ʔaʃa:ɟ,,,,,,,
pull out,Arrancar 1,ʔakʼ o̰:ʔ ʔakʼ o:ʔ,kʼ o:ʔ,,,,kᴐʔ,kʼ ɔ̰̌:ʔ,kᴐᴐʔ,kʼ ɔ̰ʔ
whistle,Assobiar,hɔ̃:ɲ hɔ̃:j̃ hɔ̰̃:ɲ,hɔ̃:j̃,,hɔ̃̌y,hɔ̃̌:j̃,,pɔ̃hɔ̃̂: j̃,pᴐ̃hᴐy,pɔ̃hɔ̃ j̃
pinch,Beliscar 1,waʃi:ʔ ʃḭ:ʔ,ʃḭ:h ʃi:h,,,,NF,,NF,
carry (on back?),Carregar,ʃә:t ʃә̰:d,ʃә:d,asә:t,ʃět,ʃě:t,sét,cě:t,set,cet
itch,Coçar 2,ʃɨ̰:t ʃɨ:d, ,,ʃîd,ʃĩnʔ,,,?,
give,Dar,nɔ̃:ʔ nɔ̰̃:ʔ,,,nɔ̃̌ʔ,nɔ̃̌:ʔ,nᴐʔ,nɔ̃ʔ,nᴐ’,nɔ̃ʔ
defecate,Defecar,ja:ʔ,,jʼa:,jɛ̌ʔ,jɛ̌:ʔ,yɛʔ,ɲdʲɛʔ,yɛ’,jɛʔ
peel,Descascar 2,ʃo:ʃ ʃo̰:j,ʃɔ̰:j,,,,,,,
meet,Encontrar,wɨ̰:t wɨ:d,wɨ:d,,wɨ̂d,wɨ̂:d,,,,
choke,Engasgar,ga̰:k,ga:g,,kã̌k,kã̌k,kãk,kʔãk,kãak,kʔãk
crawl,Engatinhar,kʼ a̰:k kʼag,kʼa:g,,,kʼã̌:k,,kʼã̰k,,kʼãk
squeeze manioc 2,Espremer mandioca,kʼawo:ʔ kʼawo̰:ʔ,,,w’ǒʔ,w̰ǒ:ʔ,koʼwowʔ,kʼow̰oʔ,,
tickle,Fazer cocegas,ʃɨ̰:t ʃɨ:d,,,ʃîd,ʃî:d,sisídn,cicî:dn,sisidn,cicidn
go,Ir,hṵ̃:m hãm,hã:m,ahõbm,hãm,hã̂:m,ham,hã̂:m,hãm,hãm
